ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
SPG0642,"https://www.google.com/maps/place/-6.5940048, -40.31923321",ANN01P4,"-6.5940048, -40.31923321"
FPG1775,"https://www.google.com/maps/place/-6.79841707, -40.11947884",ANN01P4,"-6.79841707, -40.11947884"
6PG2115,"https://www.google.com/maps/place/-6.77512589, -39.98244699",ANN01P4,"-6.77512589, -39.98244699"
SPG2115,"https://www.google.com/maps/place/-6.77511684, -39.98244697",ANN01P4,"-6.77511684, -39.98244697"
FPG1788,"https://www.google.com/maps/place/-6.63058973, -40.12339195",ANN01P4,"-6.63058973, -40.12339195"
FPG1041,"https://www.google.com/maps/place/-6.63736746, -40.43077553",ANN01P4,"-6.63736746, -40.43077553"
FPG1043,"https://www.google.com/maps/place/-6.57916957, -40.11651998",ANN01P4,"-6.57916957, -40.11651998"
FPG1785,"https://www.google.com/maps/place/-6.56711925, -40.12196473",ANN01P4,"-6.56711925, -40.12196473"
6PG2116,"https://www.google.com/maps/place/-6.60821164, -40.30241256",ANN01P4,"-6.60821164, -40.30241256"
SPG2116,"https://www.google.com/maps/place/-6.60819356, -40.30241252",ANN01P4,"-6.60819356, -40.30241252"
6PG1049,"https://www.google.com/maps/place/-6.74503475, -40.07639007",ANN01P4,"-6.74503475, -40.07639007"
SPG1049,"https://www.google.com/maps/place/-6.74503471, -40.07640816",ANN01P4,"-6.74503471, -40.07640816"
FPG2131,"https://www.google.com/maps/place/-6.68362774, -40.0822619",ANN01P4,"-6.68362774, -40.0822619"
FPG2137,"https://www.google.com/maps/place/-6.54425214, -40.04785477",ANN01P4,"-6.54425214, -40.04785477"
FPG2138,"https://www.google.com/maps/place/-6.53902943, -40.04540209",ANN01P4,"-6.53902943, -40.04540209"
RPG1942,"https://www.google.com/maps/place/-6.57287695, -40.12356939",ANN01P4,"-6.57287695, -40.12356939"
6PG1942,"https://www.google.com/maps/place/-6.57288606, -40.12354228",ANN01P4,"-6.57288606, -40.12354228"
6PG2232,"https://www.google.com/maps/place/-6.68217736, -40.0837423",ANN01P4,"-6.68217736, -40.0837423"
RPG2232,"https://www.google.com/maps/place/-6.68219541, -40.08376043",ANN01P4,"-6.68219541, -40.08376043"
6PG1943,"https://www.google.com/maps/place/-6.89265317, -40.15983504",ANN01P4,"-6.89265317, -40.15983504"
RPG1943,"https://www.google.com/maps/place/-6.89265321, -40.15981694",ANN01P4,"-6.89265321, -40.15981694"
RPG2549,"https://www.google.com/maps/place/-6.59446586, -40.31929774",ANN01P4,"-6.59446586, -40.31929774"
6PG2549,"https://www.google.com/maps/place/-6.5944659, -40.31927965",ANN01P4,"-6.5944659, -40.31927965"
FPG2550,"https://www.google.com/maps/place/-6.62340831, -40.57580478",ANN01P4,"-6.62340831, -40.57580478"
SPG1944,"https://www.google.com/maps/place/-6.57338281, -40.12385089",ANN01P4,"-6.57338281, -40.12385089"
6PG1944,"https://www.google.com/maps/place/-6.57339185, -40.12385091",ANN01P4,"-6.57339185, -40.12385091"
FPG0687,"https://www.google.com/maps/place/-6.55028996, -40.40484465",ANN01P4,"-6.55028996, -40.40484465"
6PG2114,"https://www.google.com/maps/place/-6.76804481, -39.98197122",ANN01P4,"-6.76804481, -39.98197122"
SPG2114,"https://www.google.com/maps/place/-6.76803578, -39.98196215",ANN01P4,"-6.76803578, -39.98196215"
FPG1940,"https://www.google.com/maps/place/-6.65936179, -40.31667527",ANN01P4,"-6.65936179, -40.31667527"
FPG1034,"https://www.google.com/maps/place/-6.69893476, -40.40246108",ANN01P4,"-6.69893476, -40.40246108"
FPG2118,"https://www.google.com/maps/place/-6.5998996, -40.29924352",ANN01P4,"-6.5998996, -40.29924352"
FPG1019,"https://www.google.com/maps/place/-6.76771694, -40.06056124",ANN01P4,"-6.76771694, -40.06056124"
FPG3571,"https://www.google.com/maps/place/-6.54682215, -39.97065185",ANN01P4,"-6.54682215, -39.97065185"
FPG2573,"https://www.google.com/maps/place/-6.5727328, -39.96276992",ANN01P4,"-6.5727328, -39.96276992"
