CD,LOCALIZAÇÃO,ALIMENTADOR,TOTAL CLIENTES,TOTAL POTENCIA,GPS - BT
TOS0307,"https://www.google.com/maps/place/-7.20659824,-38.99316715",MLG01Y5,4,5,"-7.20659824,-38.99316715"
TOS0308,"https://www.google.com/maps/place/-7.20068228,-38.99933554",MLG01Y5,1,3,"-7.20068228,-38.99933554"
TOS0309,"https://www.google.com/maps/place/-7.18888628,-39.01251418",MLG01Y5,1,10,"-7.18888628,-39.01251418"
TOS0310,"https://www.google.com/maps/place/-7.19211566,-39.01268636",MLG01Y5,0,15,"-7.19211566,-39.01268636"
TOS0312,"https://www.google.com/maps/place/-7.1946756,-39.01442549",MLG01Y5,0,15,"-7.1946756,-39.01442549"
TOS0314,"https://www.google.com/maps/place/-7.19981347,-39.01971533",MLG01Y5,1,10,"-7.19981347,-39.01971533"
TOS0315,"https://www.google.com/maps/place/-7.19286603,-39.02388151",MLG01Y5,0,30,"-7.19286603,-39.02388151"
TOS0316,"https://www.google.com/maps/place/-7.2039659,-39.00620132",MLG01Y5,0,15,"-7.2039659,-39.00620132"
TOS0321,"https://www.google.com/maps/place/-7.23666617,-38.97648106",MLG01Y5,58,30,"-7.23666617,-38.97648106"
TOS0322,"https://www.google.com/maps/place/-7.23287583,-38.97433444",MLG01Y5,29,90,"-7.23287583,-38.97433444"
TOS0323,"https://www.google.com/maps/place/-7.23112982,-38.97180727",MLG01Y5,14,15,"-7.23112982,-38.97180727"
TOS0325,"https://www.google.com/maps/place/-7.22855159,-38.96942511",MLG01Y5,17,15,"-7.22855159,-38.96942511"
TOS0326,"https://www.google.com/maps/place/-7.22708583,-38.96492327",MLG01Y5,27,10,"-7.22708583,-38.96492327"
TOS0328,"https://www.google.com/maps/place/-7.22477886,-38.9615538",MLG01Y5,4,15,"-7.22477886,-38.9615538"
TOS0330,"https://www.google.com/maps/place/-7.22424482,-38.95774036",MLG01Y5,1,5,"-7.22424482,-38.95774036"
TOS0331,"https://www.google.com/maps/place/-7.22322218,-38.95311174",MLG01Y5,14,15,"-7.22322218,-38.95311174"
TOS0333,"https://www.google.com/maps/place/-7.22195583,-38.95389993",MLG01Y5,0,75,"-7.22195583,-38.95389993"
TOS0336,"https://www.google.com/maps/place/-7.22153934,-38.95024049",MLG01Y5,18,5,"-7.22153934,-38.95024049"
TOS0337,"https://www.google.com/maps/place/-7.22015468,-38.94470615",MLG01Y5,20,5,"-7.22015468,-38.94470615"
TOS0339,"https://www.google.com/maps/place/-7.21706972,-38.94220652",MLG01Y5,15,5,"-7.21706972,-38.94220652"
TOS0340,"https://www.google.com/maps/place/-7.21413916,-38.94462537",MLG01Y5,1,5,"-7.21413916,-38.94462537"
TOS0341,"https://www.google.com/maps/place/-7.21594778,-38.94024107",MLG01Y5,32,10,"-7.21594778,-38.94024107"
TOS0342,"https://www.google.com/maps/place/-7.22377363,-38.9498598",MLG01Y5,5,5,"-7.22377363,-38.9498598"
TOS0347,"https://www.google.com/maps/place/-7.2980962,-39.03083572",MLG01Y5,36,15,"-7.2980962,-39.03083572"
TOS0350,"https://www.google.com/maps/place/-7.29125726,-39.03475803",MLG01Y5,92,45,"-7.29125726,-39.03475803"
